"Ligne_num";"NOMVOIE";"ID_DEFAUT";"PK_DEFAUT";"PROFIL_RAIL";"ANNEE_POSE";"VITESSE";"GROUPE_UIC";"RAYON_COURBE";"ID_TYPE_CLASSEMENT";"ID_TYPE_EMPLACEMENT";"ID_TYPE_DEFAUT";"Annee_Decouverte"
990000;"V2 (2)";14378;"061+0421";"U50";1979;70;"2";480;"O";"Ciel ouvert";"2270";2006
990000;"V1 (2)";14491;"060+0180";"U50";1977;70;"2";0;"O";"Ciel ouvert";"2271";2006
990000;"V1 (2)";14610;"061+0280";"U50";1977;70;"2";NA;"O";"Ciel ouvert";"2270";2007
990000;"V1 (2)";14839;"061+0180";"50 Kg U50  - 50E1 - 50E6 -  U36";1977;70;"2";0;"X1";"Ciel ouvert";"2270";2006
990000;"V1 (2)";14898;"061+0575";"60 Kg UIC60 - 60E1 - U80";1977;70;"2";500;"X1";"Ciel ouvert";"2270";2007
272000;"VMO";310270;"001+0190";"UIC60";1993;60;"6";0;"O";"Ciel ouvert";"2270";2007
1306;"UNIQUE (2)";310275;"000+0300";"U36";1963;30;"5";0;"O";"Ciel ouvert";"2270";2000
272000;"15";310280;"000+0260";"U50";1993;60;"6";NA;"O";"Ciel ouvert";"2270";2007
272000;"ML";310281;"002+0200";"U50";1993;30;"6";NA;"O";"Ciel ouvert";"2272";2008
272000;"VDV";310301;"002+0040";"UIC60";1981;90;"4";NA;"O";"Ciel ouvert";"2270";2003
272000;"VDO";310315;"002+0658";"UIC60";1993;90;"3";0;"O";"Ciel ouvert";"2270";2007
272000;"V1";310338;"002+0570";"UIC60";1992;120;"4";1400;"O";"Ciel ouvert";"2270";2007
272000;"15";310342;"000+0302";"U50";1993;60;"6";0;"O";"Ciel ouvert";"2270";2007
272000;"15";310343;"000+0302";"U50";1993;60;"6";0;"O";"Ciel ouvert";"2270";2007
272000;"VDM";310354;"002+0630";"UIC60";1992;90;"4";1100;"O";"Ciel ouvert";"2270";2006
272000;"V2";310366;"004+0750";"UIC60";1992;120;"3";1190;"X1";"Ciel ouvert";"2270";2007
272000;"VDO";310369;"002+0250";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2270";2007
272000;"VDO";310370;"002+0203";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2271";2007
272000;"VDO";310379;"002+0135";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2272";2007
272000;"VDO";310380;"002+0110";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2272";2007
272000;"VDO";310381;"002+0120";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2272";2007
272000;"VDO";310382;"001+0890";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2272";2007
272000;"V2";310385;"004+0421";"UIC60";1992;120;"3";1590;"X1";"Ciel ouvert";"2270";2007
272000;"VRM";310386;"000+0780";"U50";1992;90;"4";NA;"O";"Ciel ouvert";"2272";2007
272000;"V1";310387;"003+0220";"UIC60";1992;120;"3";NA;"O";"Ciel ouvert";"2270";2007
272000;"V1";310392;"003+0350";"UIC60";1992;120;"3";NA;"O";"Ciel ouvert";"2270";2007
272000;"DCE";310402;"002+0300";"UIC60";1992;90;"5";NA;"O";"Ciel ouvert";"2270";2007
272000;"VDV";310410;"004+0060";"UIC60";1981;100;"4";NA;"O";"Ciel ouvert";"2270";2006
272000;"VDR";310418;"002+0279";"UIC60";1972;90;"3";NA;"O";"Ciel ouvert";"2270";2006
272000;"13";310435;"000+0390";"U50";1993;60;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"V1";310459;"003+0220";"UIC60";1992;120;"3";NA;"O";"Ciel ouvert";"2270";2007
272000;"V1";310460;"003+0252";"UIC60";1992;120;"3";NA;"O";"Ciel ouvert";"2270";2007
272000;"RLO";310474;"002+0795";"UIC60";1992;60;"6";0;"O";"Ciel ouvert";"2270";2007
272000;"ML";310496;"002+0200";"U50";1993;30;"6";NA;"O";"Ciel ouvert";"2270";2007
272000;"ML";310498;"002+0100";"U50";1993;30;"6";0;"X1";"Ciel ouvert";"2270";2007
272000;"MAL";310507;"003+0420";"U50";1992;30;"7SV";0;"O";"Ciel ouvert";"2270";2007
272000;"V1";310511;"001+0426";"UIC60";1972;120;"4";NA;"O";"Ciel ouvert";"2270";2005
272000;"VRV";310518;"002+0000";"UIC60";1981;90;"4";NA;"O";"Ciel ouvert";"2270";2007
272000;"L";310531;"002+0080";"U50";1982;30;"6";241;"O";"Ciel ouvert";"2270";2006
272000;"ML";310539;"002+0200";"U36";1993;30;"6";0;"X1";"Ciel ouvert";"2270";2006
272000;"VDV";310553;"001+0070";"U50";1981;90;"4";NA;"X2";"Ciel ouvert";"2272";2007
272000;"VDO";310586;"002+0657";"UIC60";1993;90;"3";0;"O";"Ciel ouvert";"2270";2006
272000;"ML";310592;"002+0210";"U50";1993;30;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"L";310634;"002+0270";"U50";1982;30;"6";538;"O";"Ciel ouvert";"2270";2008
272000;"ML";310637;"002+0040";"U50";1993;30;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"ML";310640;"002+0200";"U50";1993;30;"6";NA;"O";"Ciel ouvert";"2271";2008
272000;"ML";310641;"002+0210";"U50";1993;30;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"7";310651;"000+0400";"U50";1992;60;"6";394;"O";"Ciel ouvert";"2270";2008
272000;"V1";310652;"002+0630";"UIC60";1992;120;"4";NA;"O";"Ciel ouvert";"2270";2006
272000;"V1";310653;"002+0560";"UIC60";1992;120;"4";NA;"O";"Ciel ouvert";"2270";2006
272000;"V1";310654;"002+0380";"UIC60";1992;120;"4";0;"O";"Ciel ouvert";"2272";2006
272000;"L";310655;"002+0520";"U50";1982;30;"6";312;"E";"Ciel ouvert";"2272";2006
272000;"L";310656;"002+0705";"UIC60";1994;30;"6";0;"X1";"Ciel ouvert";"2270";2006
272000;"ML";310663;"002+0248";"U50";1993;30;"6";0;"O";"Ciel ouvert";"2270";2008
272000;"ML";310664;"002+0250";"U50";1993;30;"6";0;"O";"Ciel ouvert";"2270";2008
272000;"VDO";310665;"002+0160";"UIC60";1982;90;"3";NA;"O";"Ciel ouvert";"2270";2008
272000;"VDO";310730;"002+0675";"UIC60";1993;90;"3";NA;"O";"Ciel ouvert";"2270";2008
272000;"DLO";310738;"001+0150";"UIC60";1992;60;"6";0;"O";"Ciel ouvert";"2270";2008
272000;"DLO";310761;"001+0140";"UIC60";1992;60;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"DLO";310762;"000+0970";"UIC60";1992;60;"6";0;"O";"Ciel ouvert";"2270";2008
272000;"V1";310829;"000+0930";"UIC60";1972;120;"4";NA;"O";"Ciel ouvert";"2270";2008
272000;"9";310839;"000+0739";"U50";1993;60;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"9";310840;"000+0740";"U50";1993;60;"6";NA;"O";"Ciel ouvert";"2270";2008
272000;"VDO";310846;"002+0665";"UIC60";1993;90;"3";NA;"O";"Ciel ouvert";"2270";2008
272000;"VRM";310853;"002+0160";"UIC60";1992;90;"4";1000;"O";"Ciel ouvert";"2270";2008
272000;"DCE";310858;"002+0320";"UIC60";1992;90;"5";NA;"O";"Ciel ouvert";"2270";2008
272000;"RCE";310876;"000+0789";"U50";1992;60;"5";NA;"O";"Ciel ouvert";"2270";2009
272000;"RCE";310877;"000+0790";"U50";1992;60;"5";NA;"O";"Ciel ouvert";"2270";2009
272000;"V1";310878;"001+0080";"UIC60";1972;120;"4";NA;"O";"Ciel ouvert";"2272";2009
272000;"VDM";310903;"004+0438";"UIC60";1992;100;"4";769;"X1";"Ciel ouvert";"2272";2008
272000;"VDV";310908;"003+0458";"UIC60";1992;90;"4";0;"O";"Ciel ouvert";"2270";2008
272000;"VDV";310909;"003+0730";"UIC60";1992;90;"4";0;"O";"Ciel ouvert";"2270";2008
272000;"VRV";310911;"004+0800";"UIC60";1992;100;"4";NA;"O";"Ciel ouvert";"2270";2008
272000;"DCE";310922;"000+0890";"U50";1992;60;"5";0;"X1";"Ciel ouvert";"2270";2008
272000;"VDV";310939;"004+0050";"UIC60";1992;100;"4";5000;"O";"Ciel ouvert";"2272";2008
272000;"VRV";310940;"004+0790";"UIC60";1992;100;"4";0;"O";"Ciel ouvert";"2270";2008
272000;"VDV";310941;"004+0830";"UIC60";1981;100;"4";NA;"O";"Ciel ouvert";"2272";2008
272000;"RCE";310943;"001+0507";"UIC60";1992;120;"5";NA;"O";"Ciel ouvert";"2270";2008
272000;"RCE";310944;"001+0587";"UIC60";1992;120;"5";3000;"X1";"Ciel ouvert";"2270";2008
272000;"V1";310964;"003+0583";"UIC60";1992;120;"3";6000;"O";"Ciel ouvert";"2270";2008
229000;"V1BIS";310990;"003+0165";"50 kg U50-U36";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2002
229000;"V2";311017;"003+0250";"50 kg U50-U36";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2000
229000;"V2BIS";311029;"005+0182";"60 kg UIC60-U80";1983;120;"3";0;"X1";"Ciel ouvert";"2270";2002
229000;"V2BIS";311032;"005+0805";"60 kg UIC60-U80";1983;120;"3";0;"X1";"Ciel ouvert";"2270";2002
229000;"V2BIS";311033;"005+0805";"60 kg UIC60-U80";1983;120;"3";0;"X1";"Ciel ouvert";"2270";2002
272000;"VDO";311047;"001+0600";"60 kg UIC60-U80";1981;90;"3";0;"X1";"Ciel ouvert";"2270";2001
272000;"VDO";311051;"002+0230";"60 kg UIC60-U80";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2001
272000;"VDR";311066;"001+0600";"60 kg UIC60-U80";1981;90;"3";0;"X1";"Ciel ouvert";"2270";2001
272000;"VRO";311090;"002+0900";"60 kg UIC60-U80";1981;90;"3";0;"X1";"Ciel ouvert";"2270";2000
272000;"VRO";311091;"002+0900";"60 kg UIC60-U80";1981;90;"3";0;"X1";"Ciel ouvert";"2270";2000
272000;"VRR";311122;"001+0710";"50 kg U50-U36";1979;90;"3";0;"X2";"Ciel ouvert";"2270";2001
272000;"VRV";311128;"001+0544";"60 kg UIC60-U80";1981;90;"4";6;"X1";"Ciel ouvert";"2270";2001
272000;"VRV";311131;"002+0029";"60 kg UIC60-U80";1981;90;"4";13;"X1";"Ciel ouvert";"2270";2001
272000;"VRV";311132;"001+0169";"60 kg UIC60-U80";1981;90;"4";0;"X1";"Ciel ouvert";"2270";2001
272000;"V1";311146;"003+0770";"50 kg U50-U36";1992;120;"3";0;"O";"Ciel ouvert";"2270";2002
272000;"V1";311154;"004+0460";"60 kg UIC60-U80";1986;120;"3";11;"O";"Ciel ouvert";"2270";2002
272000;"V1";311169;"000+0930";"60 kg UIC60-U80";1972;120;"4";8;"X1";"Ciel ouvert";"2270";2002
272000;"V1";311170;"001+0000";"60 kg UIC60-U80";1972;120;"4";8;"O";"Ciel ouvert";"2270";2002
272000;"V2";311174;"003+0788";"60 kg UIC60-U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2002
229000;"V2";311196;"003+0113";"50 Kg U50  - 50E1 - 50E6 -  U36";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"VRV";311199;"002+0230";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";0;"X1";"Ciel ouvert";"2270";2003
272000;"VDV";311200;"002+0940";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";0;"X1";"Ciel ouvert";"2270";2003
272000;"VRR";311201;"001+0846";"60 Kg UIC60 - 60E1 - U80";1979;90;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"VRO";311211;"002+0160";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";311213;"004+0155";"60 Kg UIC60 - 60E1 - U80";1986;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";311214;"004+0160";"60 Kg UIC60 - 60E1 - U80";1986;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V2";311215;"003+0440";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";311217;"004+0835";"60 Kg UIC60 - 60E1 - U80";1986;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";311226;"004+0827";"60 Kg UIC60 - 60E1 - U80";1986;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";311237;"000+0899";"60 Kg UIC60 - 60E1 - U80";1972;60;"4";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";311238;"003+0423";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"DCE";311246;"001+0652";"60 Kg UIC60 - 60E1 - U80";1992;90;"5";0;"X1";"Ciel ouvert";"2270";2003
272000;"VDM";311261;"001+0390";"60 Kg UIC60 - 60E1 - U80";1992;90;"4";0;"X1";"Ciel ouvert";"2270";2003
272000;"VDO";311288;"002+0120";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2004
272000;"VDV";311297;"002+0033";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";0;"X1";"Ciel ouvert";"2270";2003
272000;"V2";311299;"004+0167";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2004
272000;"V2";311300;"004+0123";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2004
272000;"V2";311301;"004+0100";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2004
272000;"V1";311303;"003+0580";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";60;"X1";"Ciel ouvert";"2270";2004
272000;"DCE";311304;"002+0518";"60 Kg UIC60 - 60E1 - U80";1992;90;"5";8;"X1";"Ciel ouvert";"2270";2004
272000;"VDR";311305;"001+0970";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";0;"X2";"Ciel ouvert";"2270";2004
272000;"21";311319;"000+0550";"50 Kg U50  - 50E1 - 50E6 -  U36";1988;60;"6";0;"X1";"Ciel ouvert";"2270";2004
272000;"VRV";311330;"001+0705";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";6;"X1";"Ciel ouvert";"2270";2004
229000;"V2";311343;"003+0370";"50 Kg U50  - 50E1 - 50E6 -  U36";1980;90;"4";7;"X1";"Ciel ouvert";"2270";2004
272000;"VRV";311363;"002+0192";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";12;"X1";"Ciel ouvert";"2270";2005
272000;"VRR";311372;"001+0410";"50 Kg U50  - 50E1 - 50E6 -  U36";1980;90;"3";0;"X1";"Ciel ouvert";"2270";2005
272000;"RLO";311373;"001+0970";"50 Kg U50  - 50E1 - 50E6 -  U36";1992;60;"6";0;"X2";"Ciel ouvert";"2270";2005
272000;"VDR";311381;"001+0934";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2005
272000;"VDV";311382;"002+0964";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";0;"X1";"Ciel ouvert";"2270";2005
272000;"VDM";311385;"004+0398";"60 Kg UIC60 - 60E1 - U80";1992;100;"4";0;"X1";"Ciel ouvert";"2270";2005
272000;"DCE";311386;"001+0462";"60 Kg UIC60 - 60E1 - U80";1992;90;"5";0;"X1";"Ciel ouvert";"2270";2005
272000;"DCE";311387;"002+0760";"60 Kg UIC60 - 60E1 - U80";1992;90;"5";0;"X1";"Ciel ouvert";"2270";2005
272000;"V2";311397;"004+0650";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X2";"Ciel ouvert";"2270";2005
272000;"V2";311401;"003+0654";"60 Kg UIC60 - 60E1 - U80";1985;120;"3";0;"X1";"Ciel ouvert";"2270";2006
272000;"V1";311403;"003+0259";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2006
272000;"L";311408;"002+0177";"50 Kg U50  - 50E1 - 50E6 -  U36";1994;30;"6";0;"X2";"Ciel ouvert";"2270";2006
272000;"VDO";311409;"002+0048";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";0;"X1";"Ciel ouvert";"2270";2006
272000;"V2";311421;"004+0172";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2006
272000;"L";311422;"002+0150";"50 Kg U50  - 50E1 - 50E6 -  U36";1994;30;"6";0;"X2";"Ciel ouvert";"2270";2006
272000;"VRM";311424;"004+0760";"60 Kg UIC60 - 60E1 - U80";1993;100;"4";0;"X1";"Ciel ouvert";"2270";2006
272000;"VRO";311427;"002+0172";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";7;"X1";"Ciel ouvert";"2270";2006
272000;"V2";311428;"004+0797";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X2";"Ciel ouvert";"2270";2006
272000;"9";311432;"000+0002";"60 Kg UIC60 - 60E1 - U80";1993;60;"6";0;"X1";"Ciel ouvert";"2270";2006
272000;"V2";311436;"001+0520";"60 Kg UIC60 - 60E1 - U80";1991;120;"4";0;"X1";"Ciel ouvert";"2270";2006
272000;"V2";311437;"004+0117";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2006
272000;"V1";311438;"003+0523";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";60;"X1";"Ciel ouvert";"2270";2006
272000;"V1";311448;"002+0687";"60 Kg UIC60 - 60E1 - U80";1992;120;"4";15;"X1";"Ciel ouvert";"2270";2006
229000;"V2";311460;"004+0113";"50 Kg U50  - 50E1 - 50E6 -  U36";1993;120;"4";0;"O";"Ciel ouvert";"2270";2007
229000;"V2";311461;"003+0850";"50 Kg U50  - 50E1 - 50E6 -  U36";1980;90;"4";0;"X1";"Ciel ouvert";"2270";2007
229000;"V1";311464;"003+0595";"50 Kg U50  - 50E1 - 50E6 -  U36";1961;90;"4";4;"X1";"Ciel ouvert";"2272";2007
272000;"V2";311471;"001+0131";"60 Kg UIC60 - 60E1 - U80";1992;120;"4";8;"X2";"Ciel ouvert";"2270";2007
272000;"VDM";311498;"003+0195";"60 Kg UIC60 - 60E1 - U80";1992;90;"4";35;"X2";"Ciel ouvert";"2272";2007
272000;"V1";311506;"003+0278";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";21;"X1";"Ciel ouvert";"2270";2007
272000;"VRR";311507;"002+0620";"60 Kg UIC60 - 60E1 - U80";1979;90;"3";250;"X1";"Ciel ouvert";"2270";2007
272000;"V2";311509;"003+0045";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2007
272000;"VRO";311512;"002+0320";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";55;"O";"Ciel ouvert";"2270";2008
272000;"VDO";311525;"002+0230";"60 Kg UIC60 - 60E1 - U80";1982;90;"3";7;"X1";"Ciel ouvert";"2270";2008
272000;"ML";311527;"002+0149";"50 Kg U50  - 50E1 - 50E6 -  U36";1993;30;"6";0;"X2";"Ciel ouvert";"2270";2008
272000;"V1";311528;"003+0198";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";34;"X2";"Ciel ouvert";"2270";2008
272000;"V2";311540;"000+0948";"60 Kg UIC60 - 60E1 - U80";1972;120;"4";11;"X1";"Ciel ouvert";"2270";2008
272000;"V1";311541;"001+0385";"60 Kg UIC60 - 60E1 - U80";1972;120;"4";20;"X1";"Ciel ouvert";"2272";2008
272000;"VRV";311544;"002+0190";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";12;"O";"Ciel ouvert";"2270";2008
272000;"VRR";311545;"002+0280";"60 Kg UIC60 - 60E1 - U80";1979;90;"3";25;"O";"Ciel ouvert";"2272";2008
272000;"DCE";311548;"001+0505";"60 Kg UIC60 - 60E1 - U80";1992;90;"5";23;"X1";"Ciel ouvert";"2270";2008
272000;"V1";311555;"003+0543";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";60;"X1";"Ciel ouvert";"2270";2008
272000;"VRV";311560;"002+0428";"60 Kg UIC60 - 60E1 - U80";1981;90;"4";6;"X1";"Ciel ouvert";"2270";2008
272000;"V2";311563;"004+0343";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";15;"X1";"Ciel ouvert";"2270";2009
272000;"V1";311565;"004+0752";"60 Kg UIC60 - 60E1 - U80";1986;120;"3";14;"X1";"Ciel ouvert";"2270";2009
272000;"V1";311574;"001+0040";"60 Kg UIC60 - 60E1 - U80";1990;120;"4";850;"X2";"Ciel ouvert";"2272";2009
272000;"RCE";312824;"000+0844";"50 Kg U50  - 50E1 - 50E6 -  U36";NA;0;"5";NA;"X1";"";"2270";2001
272000;"RCE";312825;"001+0110";"Inconnu";NA;0;"4";NA;"O";"";"2270";2000
272000;"L";312827;"002+0030";"Inconnu";NA;0;"6";NA;"O";"";"2270";2000
272000;"VAC";312828;"002+0280";"50 Kg U50  - 50E1 - 50E6 -  U36";NA;0;"4";NA;"X1";"";"2270";2001
229000;"19";312834;"003+0027";"Inconnu";NA;0;"7AV";NA;"X1";"";"2270";2000
272000;"J0037";312836;"003+0779";"Inconnu";NA;0;"3";NA;"O";"";"2270";2000
229000;"V1BIS";312837;"003+0800";"50 Kg U50  - 50E1 - 50E6 -  U36";NA;0;"3";NA;"X1";"";"2270";2001
272000;"J0038";312838;"003+0850";"Inconnu";NA;0;"3";NA;"O";"";"2270";2000
272000;"VDV";312841;"004+0760";"60 Kg UIC60 - 60E1 - U80";NA;0;"3";NA;"X1";"";"2270";2001
272000;"V2";312846;"003+0768";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2002
272000;"V2";312863;"003+0788";"60 Kg UIC60 - 60E1 - U80";1992;120;"3";0;"X1";"Ciel ouvert";"2270";2003
272000;"V1";312871;"001+0530";"60 Kg UIC60 - 60E1 - U80";1993;60;"6";0;"X1";"Ciel ouvert";"2270";2006
272000;"V2L";312891;"030+0130";"UIC60";1982;140;"4";NA;"O";"Ciel ouvert";"2270";2004
226000;"V2M";312892;"000+0709";"UIC60";1992;200;"3";NA;"O";"Ciel ouvert";"2270";2004
272000;"V1";312895;"023+0004";"UIC60";1989;160;"2";2500;"X2";"Ciel ouvert";"2270";2002
272000;"V2";312900;"005+0585";"UIC60";1992;120;"3";0;"O";"Ciel ouvert";"2270";2007
272000;"V1";312904;"029+0485";"UIC60";1989;160;"2";2273;"O";"Ciel ouvert";"2271";2009
272000;"V2";312906;"027+0285";"UIC60";1990;160;"2";NA;"O";"Ciel ouvert";"2270";2005
272000;"V2";312907;"027+0970";"UIC60";1990;160;"2";0;"X1";"Ciel ouvert";"2271";2005
272000;"V2";312908;"028+0098";"UIC60";1990;160;"2";NA;"O";"Ciel ouvert";"2271";2005
272000;"V1";312913;"015+0790";"UIC60";1989;200;"2";NA;"O";"Ciel ouvert";"2270";2008
226000;"V1";312916;"001+0260";"UIC60";1992;200;"3";NA;"O";"Ciel ouvert";"2270";2006
226000;"V1";312918;"001+0860";"UIC60";1992;200;"3";0;"X1";"Ciel ouvert";"2272";2006
226000;"V1";312919;"001+0948";"UIC60";1992;200;"3";3200;"X1";"Ciel ouvert";"2270";2006
226000;"V1";312920;"002+0090";"UIC60";1992;200;"3";3200;"O";"Ciel ouvert";"2270";2006
272000;"V2L";312927;"031+0420";"UIC60";1982;140;"4";1389;"O";"Ciel ouvert";"2271";2005
272000;"V1";312928;"019+0215";"UIC60";1989;160;"2";1613;"O";"Ciel ouvert";"2270";2005
272000;"V1L";312929;"016+0760";"UIC 60";1987;140;"3";0;"X2";"Ciel ouvert";"2270";2005
272000;"V1L";312930;"016+0760";"UIC 60";1987;140;"3";0;"X2";"Ciel ouvert";"2270";2005
272000;"V1";312931;"015+0779";"UIC60";1989;200;"2";NA;"O";"Ciel ouvert";"2270";2007
226000;"V1";312938;"002+0308";"UIC60";1992;200;"3";3200;"O";"Ciel ouvert";"2270";2006
272000;"VRO";312941;"005+0301";"UIC60";1992;90;"3";NA;"X1";"Ciel ouvert";"2270";2005
272000;"V1";312943;"023+0400";"UIC60";1989;160;"2";NA;"X1";"Ciel ouvert";"2270";2005
272000;"V2";312945;"009+0160";"UIC60";1990;160;"3";NA;"O";"Ciel ouvert";"2270";2005
272000;"V1L";312948;"015+0550";"U50";1987;140;"3";0;"X1";"Ciel ouvert";"2270";2005
272000;"V1L";312950;"014+0180";"UIC60";1977;90;"3";0;"X1";"Ciel ouvert";"2272";2007
226000;"V2";312952;"001+0813";"UIC60";1992;200;"3";0;"X1";"Ciel ouvert";"2270";2008
272000;"VRV";312958;"005+0860";"UIC60";1992;100;"4";NA;"O";"Ciel ouvert";"2270";2004
272000;"V1L";312959;"032+0850";"U50";1987;140;"4";0;"X1";"Ciel ouvert";"2270";2005
272000;"V1";312961;"009+0990";"UIC60";1989;160;"3";2000;"X1";"Ciel ouvert";"2270";2005
272000;"V1L";312962;"019+0530";"U50";1987;140;"3";0;"O";"Ciel ouvert";"2270";2002
272000;"V1L";312968;"009+0270";"UIC60";1977;110;"3";0;"O";"Ciel ouvert";"2270";2005
272000;"V2L";312969;"017+0670";"UIC60";1982;140;"3";0;"O";"Ciel ouvert";"2270";2005
226000;"V2";312975;"002+0427";"UIC60";1992;200;"3";3200;"X1";"Ciel ouvert";"2270";2006
226000;"V2";312976;"002+0640";"UIC60";1992;200;"3";NA;"X1";"Ciel ouvert";"2270";2006
272000;"V2";312979;"022+0040";"UIC60";1990;160;"2";0;"X1";"Ciel ouvert";"2270";2005
272000;"V1";312981;"020+0750";"UIC60";1989;160;"2";NA;"X1";"Ciel ouvert";"2270";2005
272000;"V2L";312982;"017+0995";"UIC60";NA;140;"3";0;"X1";"Ciel ouvert";"2270";2002
272000;"V2L";312987;"031+0754";"UIC60";1982;140;"4";1389;"X1";"Ciel ouvert";"2271";2002
272000;"V1";312993;"022+0285";"UIC60";1989;160;"2";1725;"X1";"Ciel ouvert";"2270";2005
330000;"VRM";313004;"009+0095";"UIC60";1981;90;"3";1163;"O";"Ciel ouvert";"2270";2002
272000;"V1";313009;"015+0780";"UIC60";1989;200;"2";NA;"O";"Ciel ouvert";"2270";2006
272000;"V1L";313010;"025+0448";"U50";1987;140;"4";NA;"X1";"Ciel ouvert";"2272";2004
272000;"V1L";313021;"032+0616";"U50";1987;140;"4";NA;"O";"Ciel ouvert";"2270";2004
272000;"V2L";313023;"012+0970";"UIC60";1978;110;"3";0;"X2";"Ciel ouvert";"2270";2005
272000;"V1";313024;"020+0890";"UIC60";1972;160;"2";0;"X1";"Ciel ouvert";"2270";2005
272000;"V1L";313025;"023+0110";"U50";1987;140;"4";0;"O";"Ciel ouvert";"2270";2005
272000;"V2";313033;"017+0680";"UIC60";1993;160;"2";0;"X1";"Ciel ouvert";"2270";2005
272000;"V2";313034;"020+0940";"UIC60";1990;160;"2";0;"X1";"Ciel ouvert";"2270";2005
272000;"V1";313038;"018+0664";"UIC60";1989;160;"2";NA;"X1";"Ciel ouvert";"2272";2009
272000;"V1";313043;"015+0794";"UIC60";1989;200;"2";NA;"X2";"Ciel ouvert";"2270";2006
272000;"V1";313044;"013+0740";"UIC60";1989;200;"2";NA;"X1";"Ciel ouvert";"2270";2006
272000;"V1";313048;"033+0630";"UIC60";1982;160;"2";NA;"O";"Ciel ouvert";"2272";2008
272000;"V1";313049;"016+0201";"UIC60";1992;160;"2";0;"X1";"Ciel ouvert";"2272";2003
272000;"V1";313051;"015+0915";"UIC60";1989;200;"2";NA;"X1";"Ciel ouvert";"2270";2005
272000;"V1";313052;"015+0795";"UIC60";1989;200;"2";NA;"O";"Ciel ouvert";"2270";2005
